"StartTime","internal_node_id","phase","rt","subject","time_elapsed","trial_index","trial_type","url","key_press","stimulus","success","fullscreen","responses","colour","cor_response","correct","stim_type","word"
1587609082718,"0.0-0.0","Consent",3603,"g2bw3nwyg2rqv3b",3836,0,"external-html","forms/consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-2.0","Welcome",1664,"g2bw3nwyg2rqv3b",5502,1,"html-keyboard-response",NA,32,"<p>Welcome to the experiment. This experiment should take no longer than 5 minutes.</p> <p>Press any key to begin.</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-3.0",NA,NA,"g2bw3nwyg2rqv3b",11986,2,"fullscreen",NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-4.0-0.0","Instructions",1571,"g2bw3nwyg2rqv3b",13558,3,"html-keyboard-response",NA,32,"<p>Please read these instructions carefully.</p><p>In this 'experiment' you will be presented with words in coloured text. You will be identifying the colour of that text by pressing keys on the keyboard. J = Red, K = Yellow, L = Green. Please use just your dominant hand to make responses. Also, when prompted to provide a word, respond by typing in the word 'clean'. You will have 2 seconds to respond to each stimuli.</p><p>Press any key to begin.</p>",NA,FALSE,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-4.0-1.0","Attention_Check",2980,"g2bw3nwyg2rqv3b",17557,4,"survey-text",NA,NA,NA,NA,FALSE,"{""Attention_check"":""clean""}",NA,NA,NA,NA,NA
1587609082718,"0.0-5.0","Fixation",NA,"g2bw3nwyg2rqv3b",21310,5,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.0","Fixation",NA,"g2bw3nwyg2rqv3b",21561,6,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.0","Practice",671,"g2bw3nwyg2rqv3b",22234,7,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>PAINT</p>",NA,NA,NA,"red","j",TRUE,"Practice","PAINT"
1587609082718,"0.0-6.0-2.0","Feedback",NA,"g2bw3nwyg2rqv3b",22235,8,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.1","Fixation",NA,"g2bw3nwyg2rqv3b",22487,9,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.1","Practice",517.999999999996,"g2bw3nwyg2rqv3b",23006,10,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"green","l",TRUE,"Practice","UNDER"
1587609082718,"0.0-6.0-2.1","Feedback",NA,"g2bw3nwyg2rqv3b",23007,11,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.2","Fixation",NA,"g2bw3nwyg2rqv3b",23259,12,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.2","Practice",417,"g2bw3nwyg2rqv3b",23678,13,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","PLATE"
1587609082718,"0.0-6.0-2.2","Feedback",NA,"g2bw3nwyg2rqv3b",23679,14,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.3","Fixation",NA,"g2bw3nwyg2rqv3b",23931,15,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.3","Practice",700,"g2bw3nwyg2rqv3b",24632,16,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"red","j",TRUE,"Practice","CLOCK"
1587609082718,"0.0-6.0-2.3","Feedback",NA,"g2bw3nwyg2rqv3b",24633,17,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.4","Fixation",NA,"g2bw3nwyg2rqv3b",24885,18,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.4","Practice",559,"g2bw3nwyg2rqv3b",25445,19,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"red","j",TRUE,"Practice","UNDER"
1587609082718,"0.0-6.0-2.4","Feedback",NA,"g2bw3nwyg2rqv3b",25447,20,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.5","Fixation",NA,"g2bw3nwyg2rqv3b",25698,21,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.5","Practice",486,"g2bw3nwyg2rqv3b",26186,22,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"green","l",TRUE,"Practice","CLOCK"
1587609082718,"0.0-6.0-2.5","Feedback",NA,"g2bw3nwyg2rqv3b",26187,23,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.6","Fixation",NA,"g2bw3nwyg2rqv3b",26438,24,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.6","Practice",589,"g2bw3nwyg2rqv3b",27028,25,"html-keyboard-response",NA,76,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>PAINT</p>",NA,NA,NA,"green","l",TRUE,"Practice","PAINT"
1587609082718,"0.0-6.0-2.6","Feedback",NA,"g2bw3nwyg2rqv3b",27029,26,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.7","Fixation",NA,"g2bw3nwyg2rqv3b",27281,27,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.7","Practice",495,"g2bw3nwyg2rqv3b",27777,28,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>CLOCK</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","CLOCK"
1587609082718,"0.0-6.0-2.7","Feedback",NA,"g2bw3nwyg2rqv3b",27779,29,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.8","Fixation",NA,"g2bw3nwyg2rqv3b",28029,30,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.8","Practice",385,"g2bw3nwyg2rqv3b",28416,31,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>PAINT</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","PAINT"
1587609082718,"0.0-6.0-2.8","Feedback",NA,"g2bw3nwyg2rqv3b",28417,32,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.9","Fixation",NA,"g2bw3nwyg2rqv3b",28668,33,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.9","Practice",572,"g2bw3nwyg2rqv3b",29241,34,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: green; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"green","l",FALSE,"Practice","PLATE"
1587609082718,"0.0-6.0-2.9","Feedback",NA,"g2bw3nwyg2rqv3b",30243,35,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>XXX</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.10","Fixation",NA,"g2bw3nwyg2rqv3b",30495,36,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.10","Practice",1190,"g2bw3nwyg2rqv3b",31686,37,"html-keyboard-response",NA,74,"<p id = 'contingency_stim', style = 'color: red; font-size: 60pt;'>PLATE</p>",NA,NA,NA,"red","j",TRUE,"Practice","PLATE"
1587609082718,"0.0-6.0-2.10","Feedback",NA,"g2bw3nwyg2rqv3b",31688,38,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-0.11","Fixation",NA,"g2bw3nwyg2rqv3b",31939,39,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: black; font-size: 60pt;'>+</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-6.0-1.11","Practice",620,"g2bw3nwyg2rqv3b",32559,40,"html-keyboard-response",NA,75,"<p id = 'contingency_stim', style = 'color: yellow; font-size: 60pt;'>UNDER</p>",NA,NA,NA,"yellow","k",TRUE,"Practice","UNDER"
1587609082718,"0.0-6.0-2.11","Feedback",NA,"g2bw3nwyg2rqv3b",32561,41,"html-keyboard-response",NA,NA,"<p id = 'fixation_stim', style = 'color: white; font-size: 60pt;'>BLANK</p>",NA,NA,NA,NA,NA,NA,NA,NA
1587609082718,"0.0-7.0-0.0-0.0","Survey",1846,"g2bw3nwyg2rqv3b",34412,42,"survey-text",NA,NA,NA,NA,FALSE,"{""Par_Age"":""45""}",NA,NA,NA,NA,NA
